Country name,Total cases,Total deaths,Total recovered,Active cases,New cases,New deaths,Total tests,Population
Guinea,37 950,455 ,37 034,461,,,660 107,13 943 431 
Bahamas,37 318,833 ,36 173,312,,,248 846,401 791 
Faeroe Islands,34 658,28 ,N/A,N/A,,,778 000,49 285 
Lesotho,34 490,706 ,25 980,7 804,,,431 221,2 180 875 
Haiti,33 756,857 ,31 410,1 489,,,132 422,11 718 739 
Mali,32 698,742 ,31 847,109,,,763 853,21 578 239 
Cayman Islands,30 809,34 ,8 553,22 222,,,222 773,67 478 
Saint Lucia,29 550,404 ,29 095,51,,,210 983,185 536 
Benin,27 782,163 ,27 464,155,,,604 310,12 845 791 
Somalia,27 223,1 361 ,13 182,12 680,,,400 466,16 902 282 
Congo,24 837,386 ,24 006,445,,,347 815,5 827 152 
Timor-Leste,23 275,138 ,23 102,35,,,278 529,1 375 580 
Burkina Faso,21 631,387 ,21 143,101,,,248 995,22 207 652 
Solomon Islands,21 544,153 ,16 357,5 034,,,5 117,725 213 
San Marino,21 178,118 ,20 802,258,,,157 634,34 093 
Liechtenstein,20 266,86 ,19 824,356,+3,,102 174,38 377 
Gibraltar,20 095,108 ,16 579,3 408,,,534 283,33 668 
Grenada,19 536,237 ,19 248,51,,,179 808,113 709 
Nicaragua,18 491,225 ,4 225,14 041,,,,6 803 846 
Bermuda,18 220,148 ,17 997,75,,,1 008 999,61 755 
South Sudan,17 823,138 ,17 335,350,,,410 280,11 492 263 
Tajikistan,17 786,125 ,17 264,397,,,,10 025 089 
Equatorial Guinea,17 046,183 ,16 707,156,,,365 697,1 507 893 
Tonga,16 182,12 ,15 638,532,,,535 009,108 420 
Samoa,15 941,29 ,1 605,14 307,,,187 397,201 413 
Dominica,15 760,74 ,15 673,13,,,229 344,72 392 
Djibouti,15 690,189 ,15 427,74,,,305 941,1 020 686 
Marshall Islands,15 375,17 ,15 192,166,,,,60 098 
CAR,14 957,113 ,14 536,308,,,81 294,5 020 820 
Monaco,14 774,63 ,14 649,62,,,78 646,39 875 
Gambia,12 508,372 ,12 028,108,,,155 686,2 571 173 
Saint Martin,11 992,63 ,1 399,10 530,,,112 382,40 166 
Greenland,11 971,21 ,2 761,9 189,,,164 926,56 994 
Yemen,11 939,2 158 ,9 124,657,,,329 592,31 320 655 
Vanuatu,11 935,14 ,11 918,3,,,24 976,323 477 
Caribbean Netherlands,11 284,36 ,10 476,772,,,30 126,26 777 
Sint Maarten,10 876,87 ,10 779,10,,,62 056,43 983 
Eritrea,10 182,103 ,10 072,7,,,23 693,3 658 083 
Micronesia,10 083,31 ,174,9 878,,,21 923,117 766 
Niger,9 931,312 ,8 890,729,,,254 538,26 201 190 
Antigua and Barbuda,9 106,146 ,8 954,6,,,18 901,99 773 
Guinea-Bissau,8 831,176 ,8 310,345,,,145 231,2 073 841 
Comoros,8 473,161 ,8 312,0,,,,911 750 
Liberia,7 985,294 ,7 681,10,,,139 824,5 328 175 
Sierra Leone,7 752,126 ,N/A,N/A,,,259 958,8 346 080 
Chad,7 605,193 ,4 874,2 538,,,191 341,17 498 507 
British Virgin Islands,7 305,64 ,N/A,N/A,,,107 339,30 689 
St. Vincent Grenadines,7 112,115 ,6 641,356,,,100 856,111 741 
Saint Kitts and Nevis,6 541,46 ,6 482,13,,,124 861,54 055 
Cook Islands,6 389,1 ,6 384,4,,,19 690,17 601 
Turks and Caicos,6 380,36 ,6 321,23,,,550 093,39 909 
Sao Tome and Principe,6 252,77 ,6 159,16,,,29 036,228 419 
Palau,5 481,6 ,5 462,13,,,64 681,18 290 
St. Barth,5 302,6 ,N/A,N/A,,,78 646,9 945 
Nauru,4 611,1 ,4 605,5,,,20 509,10 979 
